@RELATION dummy1

@ATTRIBUTE id string
@ATTRIBUTE created numeric
@ATTRIBUTE downvotes numeric
@ATTRIBUTE upvotes numeric
@ATTRIBUTE latitude numeric
@ATTRIBUTE longitude numeric
@ATTRIBUTE trainerName string
@ATTRIBUTE userId string
@ATTRIBUTE deviceId string
@ATTRIBUTE class {19, 41, 7, 120, 96, 129, 102, 86, 30, 16, 90, 13, 10, 15, 109, 29, 118, 54, 142, 21, 14, 92, 79, 81, 1, 52, 46, 69, 60, 32, 23, 147, 84, 48, 111, 58, 127, 17, 98, 116, 133, 124, 4, 42, 114, 20, 121, 74, 35, 95, 78, 27}

@DATA
SyzD0cdFY,1470888421,0,1,48.8702272615,2.2636697615,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,147
B1LwC9dFF,1470888362,0,1,48.8802388902,2.2667499383,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,19
SJM1uO_tY,1470887784,0,1,48.8377256372,2.4900271014,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,16
SyfcnKdFF,1470888235,0,1,45.4711794753,9.1747866891,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,84
r1Q9hK_KY,1470888182,0,1,45.4706239041,9.1761538158,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,16
H1j3F_KY,1470888079,0,1,49.1733217008,2.4088964282,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,13
ByGgTF_YK,1470888038,0,1,48.8573087104,2.2964032411,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,60
HJSlptOFF,1470888178,0,1,48.8568270462,2.2968906329,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,19
H1MepFdYF,1470888078,0,1,48.8575932639,2.2979177232,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,13
r1xgaK_Yt,1470887869,0,1,48.8643683844,2.3132116388,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,69
Bkgmccutt,1470888115,0,1,48.8457488853,2.6146193221,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,21
Byg1uu_KK,1470887813,0,1,48.8527230482,2.487556279,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,41
BJzIDY_KK,1470887864,0,1,48.8398502842,2.3510493812,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,120
S1mLPYdtY,1470887990,0,1,48.8447318883,2.3430261961,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,102
rJPwtutY,1470887803,0,1,48.8458453375,2.3424158743,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,23
BJ-vwtdYF,1470887934,0,1,48.8531215996,2.3520614637,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,129
r1GwwFdtK,1470888147,0,1,48.8501891671,2.3454084661,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,48
S1gss9_FF,1470887857,0,1,48.9715771317,2.1942899353,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,32
H1isjF_FK,1470888141,0,1,48.8769658956,2.3206503929,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,129
ryeGSu_YY,1470887884,0,1,48.8915330057,2.2926756597,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,111
H1frddYK,1470887801,0,1,48.9010218432,2.3063588923,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,1
HywSqdYY,1470887865,0,1,48.8406303784,2.2847089035,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,13
H1vH9uKF,1470887794,0,1,48.8536566822,2.286196504,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,79
SyXBvquYF,1470887925,0,1,49.4789148177,8.4610944493,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,79
ryggscdtY,1470888260,0,1,48.8922608191,2.3926994755,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,41
BkQlKduFK,1470887806,0,1,50.0811459124,8.2453097077,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,58
rkE-NFdKK,1470887817,0,1,48.9059564697,2.3350702067,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,127
B1UbEYdFY,1470887865,0,1,48.9014291651,2.3448108292,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,16
S1Zqcq_tt,1470887792,0,1,48.8649697051,2.3497053506,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,19
rJX99cdtK,1470888284,0,1,48.8670958013,2.3534838081,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,54
Hkb999uFt,1470887908,0,1,48.8671769917,2.3378529525,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,19
HkoqcdFY,1470888304,0,1,48.8717890383,2.3315568063,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,17
r1o99OFt,1470888229,0,1,48.8812681102,2.3530774231,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,98
Bkgj55uYY,1470888221,0,1,48.8862765899,2.342855465,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,69
BJfU__FY,1470887860,0,1,48.8673625238,2.747832084,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,116
SkDUdOtF,1470887815,0,1,48.8641600993,2.3275052841,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,120
rybp3OOtY,1470887805,0,1,49.4613595207,1.0752738735,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,13
rJIlaFdYt,1470887847,0,1,48.8656534168,2.2961134273,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,10
H1llptOtY,1470887995,0,1,48.8602094394,2.2969012436,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,23
H1ZpKdFF,1470888129,0,1,48.8637029551,2.3267653298,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,1
HJbTt_FF,1470887886,0,1,48.8590310796,2.3243630703,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,1
HyxRAOdYt,1470887960,0,1,48.8418108462,2.2806839822,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,16
B16QFOFt,1470887815,0,1,45.4459401067,8.6171414206,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,16
ByG-NFdKY,1470887989,0,1,48.8768374244,2.3387370067,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,96
HJlZEtdKF,1470887836,0,1,48.8706202447,2.3348864509,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,133
BkwNFdYY,1470887787,0,1,48.8884649008,2.3783011272,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,124
SylEM5_YY,1470887953,0,1,48.8137627273,2.6958846604,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,13
ry-3luuYY,1470887815,0,1,48.8612950752,2.3369292396,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,17
ByZpxddtF,1470887833,0,1,48.8553828202,2.3491749986,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,54
Hk7OyqOtY,1470888106,0,1,50.0817215729,8.245171381,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,58
Skxs5cOFY,1470888159,0,1,48.8744741447,2.3582269153,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,21
H1gqqq_Ft,1470888049,0,1,48.8667493777,2.3317574494,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,16
HJxlscuYt,1470888241,0,1,48.8909813407,2.3898633351,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,16
Skxoc_tt,1470888207,0,1,48.8933949816,2.387338388,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,16
ryejqdYK,1470888085,0,1,48.8958872549,2.3848197651,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,23
H1GqA9dFY,1470888658,0,1,47.694656,7.404578,(Anonymous),12934602,jkml4aztgpudxvp0f7hq37tde09lzwz9,4
HyeDvKdFt,1470887797,0,1,48.8525897512,2.3511391778,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,46
B1LPvY_Yt,1470888222,0,1,48.851871976,2.3438792833,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,16
HJ4OvtuKY,1470888033,0,1,48.8625221056,2.3307075714,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,133
Syg_PKOFt,1470887853,0,1,48.8582276069,2.344667846,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,19
B1cPDt_KY,1470887867,0,1,48.8541979985,2.3338865396,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,16
SymsiFOKF,1470888256,0,1,48.8897238367,2.2926172723,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,10
Sk7UHcdtt,1470888325,0,1,48.8416296271,2.2818965962,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,19
SymPnddFt,1470887924,0,1,48.7926465642,9.2359841672,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,13
SkScnFdKt,1470888141,0,1,45.474730633,9.176752945,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,16
ryHx5OYY,1470887908,0,1,49.0120031577,8.4256414824,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,21
Hk8WAqOKF,1470888464,0,1,48.9258952034,2.3575747091,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,46
BkW-09_YF,1470887993,0,1,48.8630690472,2.3347920076,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,21
B1sWAqOYt,1470888527,0,1,48.8606791678,2.3362638021,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,129
r1GGRq_YY,1470888023,0,1,48.8600407069,2.3406020799,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,16
HJ7A9OYY,1470888260,0,1,48.8596590368,2.3439078703,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,19
rJZG05_YF,1470888365,0,1,49.0046607043,1.9116181084,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,42
S1mAcOFY,1470887886,0,1,48.8603856906,2.3468663298,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,19
SJQXA9dKK,1470888351,0,1,48.8558039802,2.3478046939,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,79
BkwQRcOKF,1470888433,0,1,48.8642484129,2.3580800186,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,21
S1NQC9_tY,1470888373,0,1,48.8489436833,2.3486419305,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,19
ryy05_Ft,1470888092,0,1,45.7527386068,4.8289285348,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,10
rkMOC5dtK,1470888220,0,1,48.7817789545,9.1840171238,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,41
H1XHIduKt,1470887787,0,1,48.8574849246,2.2954524751,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,23
ByU8dOYF,1470887830,0,1,48.8558759123,2.2972522738,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,13
rkMGWt_KK,1470887935,0,1,45.7715655051,4.8505607845,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,13
B1PVYOYF,1470887905,0,1,48.8927686534,2.390982037,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,13
BkqhtuFF,1470888058,0,1,45.4710140889,9.1759159743,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,15
HJWqnYOYF,1470887913,0,1,45.4727130285,9.1760100142,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,4
Sy75nKuKt,1470887827,0,1,45.4688118409,9.1792983464,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,16
BJHSCKOFF,1470888397,0,1,48.666171,2.556022,(Anonymous),16194579,pp339ippc4qp740m661idp4p6h4hh9ex,16
r1luRYuYK,1470888025,0,1,48.8388113182,2.4907386588,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,58
r1e8Ec_Ft,1470887834,0,1,45.7710258553,3.0861814868,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,41
r1VI89dKF,1470888042,0,1,48.8222017517,2.3373074849,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,127
SJdbA5dYt,1470887813,0,1,48.9302485892,2.3565276482,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,13
Hyl-Cq_FK,1470888071,0,1,48.9295480524,2.3561172228,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,114
Bk8bRquFF,1470887849,0,1,48.9314453976,2.3634964022,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,13
H1lGR9OFt,1470887982,0,1,48.8633105423,2.3384126343,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,41
B1-CTqOFY,1470888421,0,1,45.7525982761,4.8287372435,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,20
SyvGC9uYF,1470888169,0,1,48.8527499896,2.3432493734,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,16
SJVfC5_Ft,1470887882,0,1,48.856572,2.342699,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,19
SJrzR5dKF,1470888116,0,1,48.8538458276,2.3435154928,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,19
SJzAcdtK,1470888144,0,1,48.8535095463,2.3368148383,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,19
S1bNCquFK,1470887908,0,1,48.8629934747,2.3732662685,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,116
rJ-QAq_KF,1470888017,0,1,48.8600195815,2.3609792533,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,133
HJ4R9dYY,1470888091,0,1,48.864410803,2.3732090399,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,13
ryMwR5_Ft,1470888163,0,1,48.8814369742,2.2537733721,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,41
H1Q09_KF,1470888130,0,1,48.8629612394,2.3440050178,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,120
r1g7AcdFt,1470888251,0,1,48.83406924,2.3453049333,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,21
r1eFd_FK,1470887870,0,1,50.0833608328,8.2403183768,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,41
H1ZEYOtK,1470888105,0,1,48.8750376434,2.3382371999,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,16
By-WEFdFt,1470887789,0,1,48.8852284498,2.3440874148,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,96
Hyx6mKdFF,1470887794,0,1,45.4447206365,8.6185695642,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,120
rkMDvY_FY,1470887795,0,1,48.8520257983,2.3517949894,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,116
